idLocalidad,nombreLocalidad,latitudLocalidad,longitudLocalidad,idDepartamento,GeomLocalidad,GeomTLocalidad,geometry
1606,PEYRANO,"-33,54985194","-60,79986028",291,0x00000000010C878242D261664EC099F8618C61C640C0,POINT (-60.79986027 -33.54985194),POINT (-60.79986027 -33.54985194)
1607,CHOVET,"-33,59986306","-61,61657972",295,0x00000000010C6F639215ECCE4EC017EAFA4FC8CC40C0,POINT (-61.61657972 -33.59986305),POINT (-61.61657972 -33.59986305)
1608,CARRERAS,"-33,59986694","-61,31656472",295,0x00000000010CD4BB573185A84EC034A09C70C8CC40C0,POINT (-61.31656472 -33.59986694),POINT (-61.31656472 -33.59986694)
1609,GENERAL GELLY,"-33,61653361","-60,59985167",291,0x00000000010C5E136FF0C74C4EC0DBEAC592EACE40C0,POINT (-60.59985166 -33.61653361),POINT (-60.59985166 -33.61653361)
1610,MURPHY,"-33,6332025","-61,86659444",295,0x00000000010C04590D91ECEE4EC06B9F8EC70CD140C0,POINT (-61.86659444 -33.6332025),POINT (-61.86659444 -33.6332025)
1611,MELINCUE,"-33,63320333","-61,43324",295,0x00000000010CD6A8876874B74EC0BE0885CE0CD140C0,POINT (-61.43324 -33.63320333),POINT (-61.43324 -33.63320333)
1612,ELORTONDO,"-33,69986972","-61,63324889",295,0x00000000010C10EA9E4C0ED14EC02B6EBB5495D940C0,POINT (-61.63324888 -33.69986972),POINT (-61.63324888 -33.69986972)
1613,MAGGIOLO,"-33,71654028","-62,24995306",295,0x00000000010C8AA42776FE1F4FC061F57097B7DB40C0,POINT (-62.24995305 -33.71654027),POINT (-62.24995305 -33.71654027)
1614,LABORDEBOY,"-33,71653889","-61,31655583",295,0x00000000010CA49AC4E684A84EC0CCF4C78BB7DB40C0,POINT (-61.31655583 -33.71653888),POINT (-61.31655583 -33.71653888)
1615,JUNCAL,"-33,71653306","-61,03320639",291,0x00000000010C2D0F4E1B40844EC06720E05AB7DB40C0,POINT (-61.03320638 -33.71653305),POINT (-61.03320638 -33.71653305)
1616,CARMEN,"-33,73320389","-61,76658722",295,0x00000000010C3DB7AF871FE24EC03DF3EE9FD9DD40C0,POINT (-61.76658722 -33.73320388),POINT (-61.76658722 -33.73320388)
1617,VENADO TUERTO,"-33,74987889","-61,96659306",295,0x00000000010C3C253152B9FB4EC0D2C7F807FCDF40C0,POINT (-61.96659305 -33.74987888),POINT (-61.96659305 -33.74987888)
1618,HUGHES,"-33,78319972","-61,33321556",295,0x00000000010C63E2A0CEA6AA4EC074D16FE33FE440C0,POINT (-61.33321555 -33.78319972),POINT (-61.33321555 -33.78319972)
1619,WHEELWRIGHT,"-33,78321","-61,19988583",295,0x00000000010C5464DFDB95994EC038F3AB3940E440C0,POINT (-61.19988583 -33.78321),POINT (-61.19988583 -33.78321)
1620,SAN EDUARDO,"-33,8665425","-62,09993972",295,0x00000000010C577C22D3CA0C4FC00B0C59DDEAEE40C0,POINT (-62.09993972 -33.8665425),POINT (-62.09993972 -33.8665425)
1621,SANTA ISABEL,"-33,88322778","-61,69991611",295,0x00000000010C5F32E1D996D94EC0D588899B0DF140C0,POINT (-61.69991611 -33.88322777),POINT (-61.69991611 -33.88322777)
1622,SANCTI SPIRITU,"-34,01655389","-62,23328333",295,0x00000000010CA786683ADC1D4FC0679C02701E0241C0,POINT (-62.23328333 -34.01655388),POINT (-62.23328333 -34.01655388)
1623,MARIA TERESA,"-34,01655694","-61,89992306",295,0x00000000010C5255B2AD30F34EC032E9AD891E0241C0,POINT (-61.89992305 -34.01655694),POINT (-61.89992305 -34.01655694)
